Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1495,"canberra,australian capital territory,australia",,canberra,australian capital territory,australia,-35.28346,149.12807
1496,"brumado,bahia,brazil",,brumado,bahia,brazil,-14.204,-41.665
1497,"povoa de varzim,porto,portugal",,povoa de varzim,porto,portugal,41.38344,-8.76364
1498,"barroso,minas gerais,brazil",,barroso,minas gerais,brazil,-21.187,-43.976
1499,"formosa,goias,brazil",,formosa,goias,brazil,-15.537,-47.334
1500,"porto amazonas,parana,brazil",,porto amazonas,parana,brazil,-25.545,-49.89
1501,"santo antonio do monte,minas gerais,brazil",,santo antonio do monte,minas gerais,brazil,-20.087,-45.294
1502,"campinas do sul,rio grande do sul,brazil",,campinas do sul,rio grande do sul,brazil,-27.716,-52.628
1503,"ahmedabad,gujarāt,india",,ahmedabad,gujarāt,india,23.02579,72.58727
1504,"ituacu,bahia,brazil",,ituacu,bahia,brazil,-13.813,-41.297
1505,"valledupar,cesar,colombia",,valledupar,cesar,colombia,10.46314,-73.25322
1506,"laranjeiras do sul,parana,brazil",,laranjeiras do sul,parana,brazil,-25.408,-52.416
1507,"taguatinga,tocantins,brazil",,taguatinga,tocantins,brazil,-12.404,-46.436
1508,"rengo,o'higgins,chile",,rengo,o'higgins,chile,-34.40639,-70.85834
1509,"san rafael,mendoza,argentina",,san rafael,mendoza,argentina,-34.61772,-68.33007
1510,"monte mor,sao paulo,brazil",,monte mor,sao paulo,brazil,-22.947,-47.316
1511,"benguela,benguela,angola",,benguela,benguela,angola,-12.57626,13.40547
1512,"callao,callao,peru",,callao,callao,peru,-12.05659,-77.11814
1513,"carlos chagas,minas gerais,brazil",,carlos chagas,minas gerais,brazil,-17.703,-40.766
1514,"anatuya,santiago del estero,argentina",,anatuya,santiago del estero,argentina,-28.46064,-62.83472
1515,"catuipe,rio grande do sul,brazil",,catuipe,rio grande do sul,brazil,-28.25,-54.012
1516,"san diego,california,united states",,san diego,california,united states,32.71533,-117.15726
1517,"santo antonio do amparo,minas gerais,brazil",,santo antonio do amparo,minas gerais,brazil,-20.946,-44.919
1518,"david,chiriquí,panama",,david,chiriquí,panama,8.42729,-82.43085
1519,"toulon,provence-alpes-côte d'azur,france",,toulon,provence-alpes-côte d'azur,france,43.11667,5.93333
1520,"verona,veneto,italy",,verona,veneto,italy,45.4299,10.98444
1521,"cassilandia,mato grosso do sul,brazil",,cassilandia,mato grosso do sul,brazil,-19.113,-51.734
1522,"tucurui,para,brazil",,tucurui,para,brazil,-3.768,-49.673
1523,"napoli,campania,italy",,napoli,campania,italy,40.85631,14.24641
1524,"duitama,boyacá,colombia",,duitama,boyacá,colombia,5.8245,-73.03408
