;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
;instituto nacional de pesquisas espaciais;instituition;sao jose dos campos;sao paulo;brazil;54;0;54;73;73;0;;;;
;universidade estadual paulista julio de mesquita filho;instituition;bauru;sao paulo;brazil;52;0;52;73;73;0;;;;
;instituto federal de educacao ciencia e tecnologia do rio grande do norte;instituition;natal;rio grande do norte;brazil;22;0;22;72;72;0;;;;
;colegio anchieta;instituition;salvador;bahia;brazil;21;0;21;72;72;0;;;;
;instituto federal do ceara reitoria;instituition;fortaleza;ceara;brazil;17;0;17;71;71;0;;;;
;universidade federal do rio de janeiro;instituition;rio de janeiro;rio de janeiro;brazil;40;0;40;71;71;0;;;;
;escola baiana de medicina e saude publica;instituition;salvador;bahia;brazil;23;0;23;69;69;0;;;;
;colegio santo inacio;instituition;fortaleza;ceara;brazil;12;0;12;69;69;0;;;;
;universidade metropolitana de santos;instituition;santos;sao paulo;brazil;20;0;20;67;67;0;;;;
;escola tecnica federal de pelotas;instituition;pelotas;rio grande do sul;brazil;17;0;17;67;67;0;;;;
;escola superior de teologia;instituition;sao leopoldo;rio grande do sul;brazil;53;0;53;67;67;0;;;;
;universidad nacional de colombia;instituition;manizales;caldas;colombia;18;0;18;67;67;0;;;;
;universidade do grande abc;instituition;santo andre;sao paulo;brazil;20;0;20;67;67;0;;;;
;centro universitario newton paiva;instituition;belo horizonte;minas gerais;brazil;27;0;27;66;66;0;;;;
;colegio santo antonio;instituition;belo horizonte;minas gerais;brazil;32;0;32;66;66;0;;;;
;escola tecnica federal do rio grande do norte;instituition;natal;rio grande do norte;brazil;23;0;23;66;66;0;;;;
;escola superior de agricultura de lavras;instituition;lavras;minas gerais;brazil;38;0;38;65;65;0;;;;
;centro universitario de lavras;instituition;lavras;minas gerais;brazil;24;0;24;65;65;0;;;;
;universidade salvador;instituition;salvador;bahia;brazil;22;0;22;65;65;0;;;;
;universidade fumec;instituition;belo horizonte;minas gerais;brazil;18;0;18;65;65;0;;;;
;colegio sao luis;instituition;sao luis;maranhao;brazil;11;0;11;64;64;0;;;;
;universite pierre et marie curie;instituition;paris;í¬le-de-france;france;40;0;40;63;63;0;;;;
;universidad nacional de colombia bogota;instituition;bogota;bogota d,c,;colombia;21;0;21;63;63;0;;;;
;colegio nossa senhora do rosario;instituition;rio de janeiro;rio de janeiro;brazil;17;0;17;62;62;0;;;;
;colegio santo agostinho;instituition;belo horizonte;minas gerais;brazil;15;0;15;62;62;0;;;;
;universidade iguacu;instituition;nova iguacu;rio de janeiro;brazil;31;0;31;62;62;0;;;;
;universidade de sorocaba;instituition;sorocaba;sao paulo;brazil;32;0;32;62;62;0;;;;
;fundacao faculdade de agronomia luiz meneghel;instituition;bandeirantes;parana;brazil;36;0;36;62;62;0;;;;
;instituto de fisica da universidade de sao paulo;instituition;sao paulo;sao paulo;brazil;22;0;22;61;61;0;;;;
;universidade ibirapuera;instituition;sao paulo;sao paulo;brazil;17;0;17;61;61;0;;;;
;escola de musica e belas artes do parana;instituition;curitiba;parana;brazil;19;0;19;61;61;0;;;;
;escola de engenharia maua;instituition;sao caetano do sul;sao paulo;brazil;17;0;17;61;61;0;;;;
